ID,NAME,PCLASS,AGE,SEX,SURVIVED
321,"Herman, Miss Kate",2,24.00,1,1
322,"Herman, Mr Samuel",2,49.00,0,0
323,"Herman, Mrs Samuel (Jane Laver)",2,48.00,1,1
324,"Hickman, Mr Leonard Mark",2,34.00,0,0
325,"Hickman, Mr Lewis",2,32.00,0,0
326,"Hickman, Mr Stanley George",2,21.00,0,0
327,"Hiltunen, Miss Marta",2,18.00,1,0
328,"Hocking, Mrs Elizabeth",2,53.00,1,1
329,"Hocking, Mr George",2,23.00,0,0
330,"Hocking, Miss Ellen (Nellie)",2,21.00,1,1
331,"Hodges, Mr Henry Price",2,52.00,0,0
332,"Hold, Mr Stephen",2,42.00,0,0
333,"Hold, Mrs Stephen (Annie Margaret)",2,36.00,1,1
334,"Hood, Mr Ambrose, Jr",2,21.00,0,0
335,"Hosono, Mr Masafumi",2,41.00,0,1
336,"Hunt, Mr George Henry",2,33.00,0,0
337,"Ilett, Miss Bertha",2,17.00,1,1
338,"Jerwan, Mrs Amin S (Marie Thuillard)",2,23.00,1,1
339,"Kantor, Mr Sinai",2,34.00,0,0
340,"Karnes, Mrs J Frank (Claire Bennett)",2,22.00,1,0
341,"Kelly, Mrs Florence (Fannie)",2,45.00,1,1
342,"Kvillner, Mr Johan Henrik Johannesson",2,31.00,0,0
343,"Lahtinen, Rev William",2,30.00,0,0
344,"Lahtinen, Mrs William (Anna Sylvan)",2,26.00,1,0
345,"Lemore, Mrs Amelia",2,34.00,1,1
346,"LaRoche, Mr Joseph",2,26.00,0,0
347,"LaRoche, Mrs Joseph (Juliet)",2,22.00,1,1
348,"LaRoche, Miss Louise",2,1.00,1,1
349,"LaRoche, Miss Simonne",2,3.00,1,1
350,"Leyson, Mr Robert William Norman",2,25.00,0,0
351,"Louch, Mr Charles Alexander",2,48.00,0,0
352,"Mack, Mrs Mary",2,57.00,1,0
353,"Mallet, Master Andre",2,2.00,0,1
354,"Mantvila, Rev Joseph",2,27.00,0,0
355,"Marshall, Mrs Kate Louise Phillips",2,19.00,1,1
356,"Matthews, Mr William John",2,30.00,0,0
357,"Maybery, Mr Frank H",2,20.00,0,0
358,"McCrae, Mr Arthur Gordon",2,45.00,0,0
359,"McKane, Mr Peter D",2,46.00,0,0
360,"Mellenger, Mrs Elizabeth Anne",2,41.00,1,1
361,"Mellenger, Miss Madeleine Violet",2,13.00,1,1
362,"Mellor, Mr William John",2,19.00,0,1
363,"Meyer, Mr August",2,30.00,0,0
364,"Milling, Mr Jacob Christian",2,48.00,0,0
365,"Mitchell, Mr Henry Michael",2,71.00,0,0
366,"Moraweck, Dr Ernest",2,54.00,0,0
367,"Myles, Mr Thomas Francis",2,64.00,0,0
368,"Nasser (Nasrallah), Mr Nicholas",2,32.00,0,0
369,"Nasser (Nasrallah), Mrs Nicholas",2,18.00,1,1
370,"Navratil, Master Edmond Roger",2,2.00,0,1
371,"Navratil, Mr Michel",2,32.00,0,0
372,"Navratil, Master Michel M",2,3.00,0,1
373,"Nesson, Mr Israel",2,26.00,0,0
374,"Nicholls, Mr Joseph Charles",2,19.00,0,0
375,"Nourney, Mr Alfred (aka Baron von Drachstedt)",2,20.00,0,1
376,"Nye, Mrs Elizabeth Ramell",2,29.00,1,1
377,"Otter, Mr Richard",2,39.00,0,0
378,"Oxenham, Mr Percy Thomas",2,22.00,0,1
379,"Pain, Dr Alfred",2,24.00,0,0
380,"Parker, Mr Clifford R",2,28.00,0,0
381,"Parrish, Mrs Lutie Davis",2,50.00,1,1
382,"Pengelly, Mr Frederick",2,20.00,0,0
383,"Peruschitz, Rev Joseph M",2,40.00,0,0
384,"Phillips, Miss Alice",2,42.00,1,1
385,"Phillips, Mr Robert",2,21.00,0,0
386,"Pinsky, Miss Rosa",2,32.00,1,1
387,"Ponesell, Mr Martin",2,34.00,0,0
388,"Quick, Mrs Frederick C (Jane Richards)",2,33.00,1,1
389,"Quick, Miss Phyllis May",2,2.00,1,1
390,"Quick, Miss Winifred Vera",2,8.00,1,1
391,"Reeves, Mr David",2,36.00,0,0
392,"Renouf, Mr Peter Henry",2,34.00,0,0
393,"Renouf, Mrs Peter Henry (Lillian Jefferys)",2,30.00,1,1
394,"Reynaldo, Mrs Encarnacion",2,28.00,1,1
395,"Richard, Mr Emil",2,23.00,0,0
396,"Richards, Master George Sidney",2,.80,0,1
397,"Richards, Mrs Sidney (Emily Hocking)",2,25.00,1,1
398,"Richards, Master William Rowe",2,3.00,0,1
399,"Ridsdale, Miss Lucy",2,50.00,1,1
400,"Rugg, Miss Emily",2,21.00,1,1
401,"Shelley, Mrs William (Imanita)",2,25.00,1,1
402,"Silven, Miss Lyyli",2,18.00,1,1
403,"Sincock, Miss Maude",2,20.00,1,1
404,"Siukonnen, Miss Anna",2,30.00,1,1
405,"Sjostedt, Mr Ernst Adolf",2,59.00,0,0
406,"Slayter, Miss Hilda Mary",2,30.00,1,1
407,"Slemen, Mr Richard James",2,35.00,0,0
408,"Smith (Schmidt), Mr Augustus",2,22.00,0,0
409,"Sobey, Mr Hayden",2,25.00,0,0
410,"Stanton, Mr Samuel Ward",2,41.00,0,0
411,"Stokes, Mr Philip Joseph",2,25.00,0,0
412,"Sweet, Mr George",2,14.00,0,0
413,"Toomey, Miss Ellen",2,50.00,1,1
414,"Troupiansky, Mr Moses Aaron",2,22.00,0,0
415,"Troutt, Miss Edwina Celia",2,27.00,1,1
416,"Turpin, Mr William John",2,29.00,0,0
417,"Turpin, Mrs William John (Dorothy Anne Wonnacott)",2,27.00,1,0
418,"Veale, Mr James",2,30.00,0,0
419,"Waelens, Mr Achille",2,22.00,0,0
420,"Walcroft, Miss Nellie",2,35.00,1,1
421,"Ware, Mr John James",2,30.00,0,0
422,"Ware, Mrs John James (Florence Louise Long)",2,28.00,1,1
423,"Ware, Mr William J",2,23.00,0,0
424,"Watt, Miss Bertha",2,12.00,1,1
425,"Watt, Mrs James (Bessie Inglis Milne)",2,40.00,1,1
426,"Webber, Miss Susan",2,36.00,1,1
427,"Weisz, Mr Leopold",2,28.00,0,0
428,"Weisz, Mrs Leopold (Mathilde)",2,32.00,1,1
429,"Wells, Mrs Arthur H (Addie Trevaskis)",2,29.00,1,1
430,"Wells, Miss Joan",2,4.00,1,1
431,"Wells, Master Ralph Lester",2,2.00,0,1
432,"West, Mr Edwy Arthur",2,36.00,0,0
433,"West, Mrs Edwy Arthur (Ada Mary)",2,33.00,1,1
434,"Wilhelms, Mr Charles",2,32.00,0,1
435,"Wright, Miss Marion",2,26.00,1,1
436,"Aldworth, Mr Charles Augustus",2,30.00,0,0
437,"Brown, Miss Mildred",2,24.00,1,1
438,"Swane, Mr George",2,18.00,0,0
439,"Abbing, Mr Anthony",3,42.00,0,0
440,"Abbott, Master Eugene Joseph",3,13.00,0,0
441,"Abbott, Mr Rossmore Edward",3,16.00,0,0
442,"Abbott, Mrs Stanton (Rosa)",3,35.00,1,1
443,"Abelseth, Miss Anna Karen",3,16.00,1,1
444,"Abelseth, Mr Olaus",3,25.00,0,1
445,"Abraham, Mrs Joseph (Sophie Easu)",3,18.00,1,1
446,"Abrahamsson, Mr August",3,20.00,0,1
447,"Adahl, Mr Mauritz Nils Martin",3,30.00,0,0
448,"Adams, Mr John",3,26.00,0,0
449,"Ahlin, Mrs Johanna Persdotter",3,40.00,1,0
450,"Ahmed, Mr Ali",3,24.00,0,0
451,"Aijo-Nirva, Mr Isak",3,41.00,0,0
452,"Aks, Mrs Sam (Leah Rosen)",3,18.00,1,1
453,"Aks, Master Philip",3,.83,0,1
454,"Alexander, Mr William",3,23.00,0,0
455,"Alhomaki, Mr Ilmari Rudolf",3,20.00,0,0
456,"Ali, Mr William",3,25.00,0,0
457,"Allen, Mr William Henry",3,35.00,0,0
458,"Allum, Mr Owen George",3,17.00,0,0
459,"Andersen, Mr Albert Karvin",3,32.00,0,0
460,"Andersen, Mr Thor Olsvigen",3,20.00,0,0
461,"Andersson, Mr Anders Johan",3,39.00,0,0
462,"Andersson, Mrs Anders Johan (Alfrida K Brogren)",3,39.00,1,0
463,"Andersson, Miss Ebba Iris",3,6.00,1,0
464,"Andersson, Miss Ellis Anna Maria",3,2.00,1,0
465,"Andersson, Miss Erna",3,17.00,1,1
466,"Andersson, Miss Ida Augusta Margareta",3,38.00,1,0
467,"Andersson, Miss Ingeborg Constancia",3,9.00,1,0
468,"Andersson, Mr Johan Samuel",3,26.00,0,0
469,"Andersson, Miss Sigrid Elizabeth",3,11.00,1,0
470,"Andersson, Master Sigvard Harald Elias",3,4.00,0,0
471,"Andreasson, Mr Paul Edvin",3,20.00,0,0
472,"Angheloff, Mr Minko",3,26.00,0,0
473,"Arnold, Mr Josef",3,25.00,0,0
474,"Arnold, Mrs Josef (Josephine Frank)",3,18.00,1,0
475,"Aronsson, Mr Ernst Axel Algot",3,24.00,0,0
476,"Asim, Mr Adola",3,35.00,0,0
477,"Asplund, Mr Carl Oscar Vilhelm Gustafsson",3,40.00,0,0
478,"Asplund, Mrs Carl Oscar (Selma Augusta Johansson)",3,38.00,1,1
479,"Asplund, Master Carl Edgar",3,5.00,0,0
480,"Asplund, Master Clarence Gustaf Hugo",3,9.00,0,0
481,"Aspland, Master Edvin Rojj Felix",3,3.00,0,1
482,"Asplund, Master Filip Oscar",3,13.00,0,0
483,"Asplund, Mr John Charles",3,23.00,0,1
484,"Asplund, Miss Lillian Gertrud",3,5.00,1,1
485,"Assaf, Mrs Mariana",3,45.00,1,1
486,"Assam, Mr Ali",3,23.00,0,0
487,"Attalah, Miss Malaka",3,17.00,1,0
488,"Attala (Kalil), Mr Solomon",3,27.00,0,0
489,"Augustsson, Mr Albert",3,23.00,0,0
490,"Baccos, Mr Rafoul",3,20.00,0,0
491,"Backstrom, Mr Karl Alfred",3,32.00,0,0
492,"Backstrom, Mrs Karl Alfred (Maria Mathilda Gustafsson)",3,33.00,1,1
493,"Baclini, Miss Eugenie",3,3.00,1,1
494,"Badman, Miss Emily Louisa",3,18.00,1,1
495,"Badt, Mr Mohamed",3,40.00,0,0
496,"Balkic, Mr Cerin",3,26.00,0,0
497,"Banoura, Miss Ayout",3,15.00,1,1
498,"Barbara, Mrs Catherine",3,45.00,1,0
499,"Barbara, Miss Saude",3,18.00,1,0
500,"Barry, Miss Julia",3,27.00,1,0
501,"Barton, Mr David",3,22.00,0,0
502,"Beavan, Mr William Thomas",3,19.00,0,0
503,"Bengtsson, Mr John Viktor",3,26.00,0,0
504,"Berglund, Mr Kar Ivar Sven",3,22.00,0,0
505,"Betros, Mr Tannous",3,20.00,0,0
506,"Bing, Mr Lee",3,32.00,0,1
507,"Birkeland, Mr Hans",3,21.00,0,0
508,"Bjorklund, Ernst Herbert",3,18.00,0,0
509,"Bostandyeff, Mr Guentcho",3,26.00,0,0
510,"Boulos, Master Akar",3,6.00,0,0
511,"Boulos, Miss Laura",3,9.00,1,0
512,"Bourke, Mr John",3,40.00,0,0
513,"Bourke, Mrs John (Catherine)",3,32.00,1,0
514,"Bowen, Mr David",3,26.00,0,0
515,"Bradley, Miss Bridget Delia",3,18.00,1,1
516,"Braf, Miss Elin Ester Maria",3,20.00,1,0
517,"Braund, Mr Lewis Richard",3,29.00,0,0
518,"Braund, Mr Owen Harris",3,22.00,0,0
519,"Brobek, Mr Karl Rudolf",3,22.00,0,0
520,"Brocklebank, Mr William Alfred",3,35.00,0,0
521,"Buckley, Mr Daniel",3,21.00,0,1
522,"Buckley, Miss Katherine",3,20.00,1,0
523,"Burke, Mr Jeremiah",3,19.00,0,0
524,"Burns, Miss Mary Delia",3,18.00,1,0
525,"Cacic, Mr Grego",3,18.00,0,0
526,"Cacic, Mr Luka",3,38.00,0,0
527,"Cacic, Mr Maria",3,30.00,0,0
528,"Calic, Mr Peter",3,17.00,0,0
529,"Canavan, Miss Mary",3,21.00,1,0
530,"Canavan, Mr Patrick",3,21.00,0,0
531,"Cann, Mr Ernest",3,21.00,0,0
532,"Carlsson, Mr Carl Robert",3,24.00,0,0
533,"Carlsson, Mr Frans Olof",3,33.00,0,0
534,"Carlsson, Mr Julius",3,33.00,0,0
535,"Carlsson, Mr August Sigfrid",3,28.00,0,0
536,"Carr, Miss Helen",3,16.00,1,1
537,"Carr, Miss Jeannie",3,37.00,1,0
538,"Carver, Mr Alfred John",3,28.00,0,0
539,"Celotti, Mr Francesco",3,24.00,0,0
540,"Chartens, Mr David",3,21.00,0,0
541,"Chip, Mr Chang",3,32.00,0,0
542,"Christmann, Mr Emil",3,29.00,0,0
543,"Chronopoulos, Mr Apostolos",3,26.00,0,0
544,"Chronopoulos, Mr Demetrios",3,18.00,0,0
545,"Coelho, Mr Domingos Fernandes",3,20.00,0,0
546,"Cohen, Mr Gurshon (Gus)",3,19.00,0,1
547,"Colbert, Mr Patrick",3,24.00,0,0
548,"Coleff, Mr Fotio",3,24.00,0,0
549,"Coleff, Mr Peyo",3,36.00,0,0
550,"Conlin, Mr Thomas Henry",3,31.00,0,0
551,"Connaghton, Mr Michael",3,31.00,0,0
552,"Connolly, Miss Kate",3,30.00,1,0
553,"Connolly, Miss Kate",3,22.00,1,1
554,"Cook, Mr Jacob",3,43.00,0,0
555,"Cor, Mr Bartol",3,35.00,0,0
556,"Cor, Mr Ivan",3,27.00,0,0
557,"Cor, Mr Ludovik",3,19.00,0,0
558,"Corn, Mr Harry",3,30.00,0,0
559,"Coutts, Mrs William (Minnie)",3,36.00,1,1
560,"Coutts, Master Neville",3,3.00,0,1
561,"Coutts, Master William Leslie",3,9.00,0,1
562,"Coxon, Mr Daniel",3,59.00,0,0
563,"Crease, Mr Ernest James",3,19.00,0,0
564,"Cribb, Mr John Hatfield",3,44.00,0,0
565,"Cribb, Miss Laura Alice",3,17.00,1,1
566,"Dahl, Mr Charles Edward",3,45.00,0,1
567,"Dahlberg, Miss Gerda Ulrika",3,22.00,1,0
568,"Dakic, Mr Branko",3,19.00,0,0
569,"Daly, Mr Eugene",3,29.00,0,1
570,"Daly, Miss Marcella",3,30.00,1,1
571,"Danbom, Mr Ernst Gilbert",3,34.00,0,0
572,"Danbom, Mrs Ernst Gilbert (Anna Sigrid Maria Brogren)",3,28.00,1,0
573,"Danbom, Master Gilbert Sigvard Emanuel",3,.33,0,0
574,"Danoff, Mr Yoto",3,27.00,0,0
575,"Dantchoff, Mr Khristo",3,25.00,0,0
576,"Davies, Mr Alfred",3,24.00,0,0
577,"Davies, Mr Evan",3,22.00,0,0
578,"Davies, Mr John",3,21.00,0,0
579,"Davies, Mr Joseph",3,17.00,0,0
580,"Dean, Mr Bertram",3,26.00,0,0
581,"Dean, Mrs Bertram (Eva)",3,33.00,1,1
582,"Dean, Master Bertram Vere",3,1.00,0,1
583,"Dean, Miss Elizabeth Gladys (Millvena)",3,.17,1,1
584,"Delalic, Mr Regyo",3,25.00,0,0
585,"De Messemaeker, Mr William Joseph",3,36.00,0,1
586,"De Messemaeker, Mrs William Joseph (Anna)",3,36.00,1,1
587,"De Mulder, Mr Theo",3,30.00,0,1
588,"Dennis, Mr Samuel",3,23.00,0,0
589,"Dennis, Mr William",3,26.00,0,0
590,"Devaney, Miss Margaret",3,19.00,1,1
591,"Dewan, Mr Frank",3,65.00,0,0
592,"Dimic, Mr Jovan",3,42.00,0,0
593,"Dintcheff, Mr Valtcho",3,43.00,0,0
594,"Dooley, Mr Patrick",3,32.00,0,0
595,"Dorkings, Mr Edward Arthur",3,19.00,0,1
596,"Dowdell, Miss Elizabeth",3,30.00,1,1
597,"Doyle, Miss Elizabeth",3,24.00,1,0
598,"Drapkin, Miss Jennie",3,23.00,1,1
599,"Driscoll, Miss Bridget",3,24.00,1,1
600,"Duquemin, Mr Joseph",3,24.00,0,1
601,"Dyker, Mr Adolf Fredrik",3,23.00,0,0
602,"Dyker, Mrs Adolf Fredrik (Anna Elizabeth Judith Andersso",3,22.00,1,1
603,"Edvardsson, Mr Gustaf Hjalmar",3,18.00,0,0
604,"Eklund, Mr Hans Linus",3,16.00,0,0
605,"Ekstrom, Mr Johan",3,45.00,0,0
606,"Elsbury, Mr James",3,47.00,0,0
607,"Emanuel, Miss Virginia Ethel",3,5.00,1,1
608,"Ford, Miss Doolina Margaret",3,21.00,1,0
609,"Ford, Mr Edward Watson",3,18.00,0,0
610,"Ford, Miss Maggie",3,9.00,1,0
611,"Ford, Mrs Edward (Margaret Ann)",3,48.00,1,0
612,"Ford, Mr Neil Watson",3,16.00,0,0
613,"Gallagher, Mr Martin",3,25.00,0,0
614,"Gilinski, Mr Leslie",3,22.00,0,0
615,"Gilnagh, Miss Katie",3,16.00,1,1
616,"Goldsmith, Mr Frank John",3,33.00,0,0
617,"Goldsmith, Master Frank John William",3,9.00,0,1
618,"Goldsmith, Mr Nathan",3,41.00,0,0
619,"Goncalves, Mr Manuel Estanslas",3,38.00,0,0
620,"Goodwin, Mr Frederick",3,40.00,0,0
621,"Goodwin, Mrs Frederick (Augusta)",3,43.00,1,0
622,"Goodwin, Mr Charles E",3,14.00,0,0
623,"Goodwin, Miss Lillian A",3,16.00,1,0
624,"Goodwin, Master Harold V",3,9.00,0,0
625,"Goodwin, Miss Jessie A",3,10.00,1,0
626,"Goodwin, Master Sidney L",3,6.00,0,0
627,"Goodwin, Master William F",3,11.00,0,0
628,"Green, Mr George",3,40.00,0,0
629,"Gronnestad, Mr Daniel Danielsen",3,32.00,0,0
630,"Gustafsson, Mr Alfred Ossian",3,20.00,0,0
631,"Gustafsson, Mr Anders Vilhelm",3,37.00,0,0
632,"Gustafsson, Mr Johan Birger",3,28.00,0,0
633,"Gustafsson, Mr Karl Gideon",3,19.00,0,0
634,"Haas, Miss Aloisia",3,24.00,1,0
635,"Hagardon, Miss Kate",3,17.00,1,0
636,"Hakkarainen, Mr Pekko Pietari",3,28.00,0,0
637,"Hakkarainen, Mrs Pekko Pietari",3,24.00,1,1
638,"Hampe, Mr Leon",3,20.00,0,0
639,"Hansen, Mr Claus Peter",3,41.00,0,0
640,"Hansen, Mrs Claus Peter",3,45.00,1,1
641,"Hansen, Mr Henrik Juul",3,26.00,0,0
642,"Hansen, Mr Henry Damsgaard",3,21.00,0,0
643,"Hedman, Mr Oscar",3,27.00,0,1
644,"Hegarty, Miss Nora",3,18.00,1,0
645,"Heikkinen, Miss Laina",3,26.00,1,1
646,"Heininen, Miss Wendla Maria",3,23.00,1,0
647,"Hellstrom, Hilda Maria",3,22.00,1,1
648,"Henriksson, Jenny Lovisa",3,28.00,1,0
649,"Hirvonen, Mrs Alexander",3,22.00,1,1
650,"Hirvonen, Miss Hildur E",3,2.00,1,0
651,"Holm, Mr John Frederik Alexander",3,43.00,0,0
652,"Honkanen, Miss Eluna",3,27.00,1,1
653,"Humblin, Mr Adolf Mathias Nicolai Olsen",3,42.00,0,0
654,"Ilmakangas, Miss Ida Livija",3,27.00,1,0
655,"Ilmakangas, Miss Pieta Sofia",3,25.00,1,0
656,"Jansen, Mr Carl Olof",3,27.00,0,1
657,"Jensen, Miss Carla Christine",3,19.00,1,1
658,"Jensen, Mr Hans Peder",3,20.00,0,0
659,"Jensen, Mr Niels Peder",3,48.00,0,0
660,"Jensen, Mr Svend Lauritz",3,17.00,0,0
661,"Johanson, Mr Jakob Alfred",3,34.00,0,0
662,"Johansson, Mr Erik",3,22.00,0,0
663,"Johansson, Mr Gustaff Joel",3,33.00,0,0
664,"Johansson, Mr Karl Johan",3,32.00,0,1
665,"Johansson, Mr Nils",3,29.00,0,0
666,"Johansson, Oscar L",3,26.00,0,1
667,"Johnson, Mr Alfred",3,49.00,0,0
668,"Johnson, Miss Eleanor Ileen",3,1.00,1,1
669,"Johnson, Mr Malkolm Joackim",3,33.00,0,0
670,"Johnson, Master Harold Theodor",3,4.00,0,1
671,"Johnson, Mrs Oscar W",3,24.00,1,0
672,"Johnson, Mr William Cahoone Jr",3,19.00,0,0
673,"Jonsson, Mr Carl",3,32.00,0,1
674,"Jonsson, Nils Hilding",3,27.00,0,0
675,"Jussila, Miss Aina Maria",3,21.00,1,0
676,"Jussila, Mr Erik",3,32.00,0,1
677,"Jussila, Miss Katriina",3,20.00,1,0
678,"Sandstrom, Miss Beatrice Irene",3,1.50,1,0
679,"Zenni, Mr Philip",3,22.00,0,0
